gene,coef
Intercept,0
H2-K1,2.18794900382929
Arhgap1,2.1075377037548
Pkm,1.614198634424
Fmo2,1.35404022844427
Aldh2,1.30754635006172
Atad2,1.22975376642657
Podxl,1.15035799226
Pdcd4,0.979533477179602
Junb,0.892308079794511
Pfkl,0.889036777124779
Ccnh,0.881055582182265
Sf1,0.877349804311327
Taf15,0.862749959673701
Agrn,0.822167657044408
Cystm1,0.818036952485452
Sf3b2,0.812484299637827
Fgfr3,0.721552757308293
Apod,0.674617667834125
Cp,0.667483988064396
AC149090.1,0.635583211048432
Ier3,0.634822336997418
Itfg2,0.562968994959958
Il33,0.544018411834329
Tmeff1,0.536360613025541
Ints3,0.525616912896919
C4b,0.508172438496575
Klf4,0.501642903704564
Cyth1,0.493038868715784
Nsf,0.491128228427131
Tmem176b,0.489264502803206
Isg15,0.488223033834169
Ensa,0.472149328756775
Tmx1,0.465503621568097
Plscr2,0.443912603179641
Zfp644,0.441784959408833
Foxl2,0.430015336732665
Npepps,0.405473678177597
Irf7,0.390244700589647
Ifi27l2a,0.384760157280693
Rpl6,0.376225224212655
Jag2,0.370107778439362
Ifit3,0.367554294131404
Sp100,0.36619967124005
Tmpo,0.363658316581073
Zbtb46,0.357945979091077
Tm6sf1,0.352386718064333
Rpsa,0.337748043956733
Ppil2,0.321936003699625
Wnt5a,0.308060561299582
Slc25a33,0.307442446072623
Atf3,0.30409528494492
Nes,0.303706610367517
Ppm1a,0.301451497865808
Ntn4,0.29242428083811
Zfyve21,0.280028137915419
Lrg1,0.27587766392633
Rnf20,0.25696983283324
Ubxn2a,0.222578403833098
Snx6,0.221520267684615
Spcs2,0.214126085896247
Cfh,0.21285600674429
Alas1,0.211199385938435
Lyar,0.208653441403001
Rlim,0.202705699557994
Ucp2,0.19789434139906
Hbb-bs,0.193390013564263
Sars,0.189189771418113
Vat1,0.177500674171121
Bub3,0.171333059169046
Rbbp4,0.158847853940103
Nfe2l1,0.153402113640799
Wdr3,0.146822338439958
Susd6,0.141504465882183
Icam1,0.141454840114355
Ppil1,0.13658952694938
Prpf4b,0.124753150852763
Vcam1,0.111833973088099
Rassf1,0.109168477084679
Slc26a10,0.105467847771353
Cflar,0.0939426683275836
Wnk1,0.0925165286463088
Pmaip1,0.0919132641131597
4930523C07Rik,0.0900455686611152
Asf1a,0.082831862833018
Mettl26,0.0761741070393372
Mrps18c,0.0599383314914849
Rnf10,0.053528335129315
Gpm6b,0.046407810102392
1110004F10Rik,0.0460299633447193
Dnaja1,0.0429837203159254
Kctd20,0.0408387973434585
Emc6,0.0384308612002917
Syne2,0.0267022416595312
Sema3c,0.0249896638157448
Med29,0.0224435583723429
Grk2,0.0205502013217865
Cggbp1,0.0167023907749263
Gspt1,0.0102954027633672
Slc25a24,0.00649129471749238
Fas,0.00565329695689172
Dpy19l1,-0.000836333322268626
Ltbp4,-0.00217556056054892
C1qb,-0.00286320140335791
Ltc4s,-0.00388027693249845
Dip2a,-0.00448366013553325
Gkn3,-0.00605312242770897
Ing4,-0.00639689456298149
Ypel3,-0.0066321508544584
Kif21a,-0.0183605357979841
Hspa1b,-0.0226803890551461
Spin1,-0.0230503935606023
Hexb,-0.0296414381913397
Lsm8,-0.036537254913425
Smad2,-0.0415513922974426
Rtl8b,-0.0548828475188461
Sap30l,-0.0606365824916343
Hk1,-0.0662981946504679
Ddx46,-0.0695014135255814
Gbp2,-0.0709677720358524
Topors,-0.0739422950236164
Plec,-0.0764432637405601
Lin7c,-0.0792865884201121
Cenpa,-0.0806951564251573
Gm37494,-0.0839326491986648
Polk,-0.0958680823846038
Gnb4,-0.101700360323555
Bloc1s4,-0.10262824962604
Tcp11l2,-0.102653409242352
Pllp,-0.111370454345024
Supt16,-0.113939823824905
Tmsb10,-0.121927940426754
Mea1,-0.126604624024348
Mtus1,-0.135538799206887
Ulk2,-0.138573207090925
Bfar,-0.139989650289763
1110059G10Rik,-0.142056432992687
Fam60a,-0.143842050010141
Adgrl3,-0.145451124251642
Gm32688,-0.146124505244613
Gng11,-0.162124216805516
Sccpdh,-0.164109031654625
Luc7l3,-0.164161249128586
Fam13a,-0.167797578700502
Aldoc,-0.178426597365245
Pebp1,-0.181677190808422
Gapvd1,-0.181805770324883
Cx3cr1,-0.193765286791598
Tma7,-0.196217491216745
Lysmd3,-0.19936461215954
Fbxo3,-0.199805455077535
AU021092,-0.202410602496807
Timm17a,-0.20857473735756
Ssr1,-0.21125866212264
Egfl8,-0.214873531643409
Myl9,-0.217027792777478
44450,-0.218868948236902
Ogt,-0.222939962443779
Glud1,-0.237487256741202
Hbegf,-0.237773063215989
Mxd4,-0.250779559222082
Iigp1,-0.267049294940561
Erbin,-0.267845852215093
Cmc4,-0.273543314887499
Stat1,-0.275312631813587
Slc39a10,-0.277441011636237
Igtp,-0.281421112725688
Mtpn,-0.285433772987077
Tmcc3,-0.307894916744912
Ets2,-0.310274898817752
Maea,-0.333344157650541
C1qa,-0.344218443984853
Tsc22d3,-0.355495272570605
Ptprd,-0.361494771633659
U2surp,-0.362352850813579
Slc38a5,-0.364742299214691
Atp13a3,-0.397665505983074
Srp14,-0.410363301833532
Dnajb9,-0.412553786963514
Brpf1,-0.42571267041514
Tcaf1,-0.43971801351793
Ctsh,-0.453705786178131
Rbm39,-0.455033675600579
Sema6a,-0.458863888058634
Rapgef5,-0.46311340262697
Tpd52l2,-0.48720739716594
Car5a,-0.488451333767075
Tceal8,-0.504458681898566
Tuba1a,-0.515419758132049
Zmpste24,-0.527124340864387
Ptprr,-0.53802879665698
H1f0,-0.56274018824802
Zc3h14,-0.563455029880282
Supt4a,-0.571860583701316
Tubb2a,-0.577025329558027
Palmd,-0.587058370033506
Stmn1,-0.591604475919636
Rsrp1,-0.603966973734622
Scand1,-0.611900159961136
Hmgcs1,-0.627405788067807
Ssh2,-0.63066771592143
Cnot6l,-0.642211528207426
Slc50a1,-0.648641833530124
Dgcr2,-0.656214886218978
Tpd52l1,-0.674381281604096
Irf2,-0.764049654469531
Mex3c,-0.776064586653674
Sparc,-0.824161829136716
Chd3,-0.8748138075102
Ube2g1,-1.03811650647535
Itga1,-1.04521150631563
Ctla2a,-1.07037414341195
Stox2,-1.13393630842904
Ndufs4,-1.23610020228148
